,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,23.251948041115277,104.65955944583605,25.084,11455.804
1,2,25.026622281679238,154.57109734580192,70.403,22760.521
2,3,4.103795994738222,4.405147405774038,69.094,11217.002
3,4,1.663985333700151,0.8036164576308407,69.554,22179.336
4,5,3.0458183374965757,2.7570731190603706,73.96,12172.409
5,6,2.2761779667746653,1.389622651577275,69.434,22622.763
6,7,3.002213874327901,2.6952827329073457,66.314,12254.48
7,8,5.177559920704467,5.995402653588524,69.31,11095.863
8,9,2.0620136905561894,0.8692089038633558,56.151,11142.197
9,10,8.803646242190185,27.915866339297015,57.367,12369.192
10,11,5.753156479719042,9.045045296683773,61.047,11227.54
11,12,7.343638603332195,10.112189270988594,56.438,11136.92
12,13,4.030236694538863,2.5694407883101884,57.436,11187.331
13,14,2.150751401010953,0.8573308570917346,58.77,11135.164
14,15,1.9459207750972949,0.6344463797712474,59.446,11140.281
15,16,1.9245564157418027,0.6661403866102412,55.964,11106.677
16,17,2.6086948032490027,0.9626259330149454,58.266,11089.982
17,18,3.051703646695509,1.2298531135214688,56.18,11137.201
18,19,3.2897585794364095,1.422713544101951,55.818,11102.271
19,20,3.3942175655868687,1.5362360035296068,57.69,11124.251
20,21,3.4659310290425203,1.6312622423762158,55.809,11112.555
21,22,3.4689178483674774,1.6679298422271482,57.448,11098.238
22,23,3.4321499500189154,1.6595653652030986,56.03,11117.415
23,24,3.41479017501637,1.670293163865095,57.302,11128.693
24,25,3.3913171708669965,1.6646026652081487,58.919,11125.129
25,26,3.3707044251626432,1.6536006998699067,56.006,11126.261
26,27,2.8450886672613653,1.2739905112810705,56.746,11108.466
27,28,3.248393382296674,1.5320746046841434,58.46,11107.029
28,29,2.8979131466545844,1.2595502479875624,57.587,11374.954
29,30,3.2202205222773075,1.4846591211162234,56.673,11114.642
30,31,2.951611649035492,1.263604844719226,56.151,11176.416
31,32,3.2454328022597383,1.4956143729901732,57.93,11151.829
32,33,3.0177358336485387,1.2973011501734506,56.22,11102.811
33,34,3.2667364601100632,1.5129604812071173,55.766,11117.87
34,35,3.0720889192109864,1.336736429005903,56.344,11115.341
35,36,3.2708112246619048,1.5166775395593257,55.829,11105.783
36,37,3.0988863080386153,1.355787748530996,56.064,11114.922
37,38,3.29676430597755,1.544331258295533,54.91,11030.302
38,39,3.111295510631982,1.3655153528584134,58.509,11102.904
39,40,3.128409417773862,1.3829215247888573,57.232,11105.394
40,41,3.2842369009419206,1.5306852177688308,55.968,11087.905
41,42,3.1722608539315127,1.4161307668723475,57.57,11095.514
42,43,3.1565285185534844,1.4066136092174775,59.775,11081.717
43,44,3.296614963224259,1.5444760687633479,56.114,11075.332
44,45,3.2008244162295467,1.4407145745920513,57.983,11111.499
45,46,3.1839191911066855,1.4313208854276045,57.155,11176.729
46,47,3.1864360969150916,1.4312865443684872,56.514,11131.091
47,48,3.1909026439203068,1.433301081079949,55.909,11096.484
48,49,3.2080598750353087,1.4479867261744055,56.134,11099.206
49,50,3.223015772908294,1.461954603447698,55.769,11096.432
50,51,3.2226592876288294,1.4617946785592246,60.132,11343.762
51,52,3.2355161716964096,1.4750711568179689,56.116,11130.942
52,53,3.2339286388515385,1.4743471674810529,58.292,11102.009
53,54,3.2758283994315947,1.5196650385489128,55.88,11103.234
54,55,3.276972694912587,1.5098449620979344,60.127,11220.123
55,56,3.2371367861087084,1.4835286199861035,57.876,11116.468
56,57,3.2329359760956864,1.4816506786276684,55.782,11082.327
57,58,3.2475934124014723,1.4962289294824958,58.024,11133.291
58,59,3.2629806470727925,1.511585340998183,61.954,11141.818
59,60,3.2778591882691774,1.5264969037271774,56.499,11110.477
60,61,3.2788352603215216,1.526935010356587,56.605,11141.317
61,62,3.279211692824105,1.5271040938040905,56.128,11115.846
62,63,3.2832153356107523,1.5314165141678127,56.021,11129.638
63,64,3.326717601592165,1.564571719764786,56.45,11136.786
64,65,3.2738345037171666,1.5247018003241288,56.417,11105.036
65,66,3.269428910093467,1.522744353777542,56.145,11125.557
66,67,3.2721332943658545,1.5247484663719575,63.736,11428.716
67,68,3.2742075606449657,1.5256688993133016,57.296,11281.681
68,69,3.276233915866615,1.5265699424004553,55.82,11119.138
69,70,3.277263825628671,1.52702926504275,60.996,11155.292
70,71,3.2779752862148683,1.5273471462198907,58.536,11129.937
71,72,3.2778805711760253,1.5273048177562034,55.409,11151.341
72,73,3.290367388450888,1.541580270267308,62.922,11135.489
73,74,3.2903112856890084,1.5415552165379944,60.155,11172.391
74,75,3.2902726557281587,1.5415379692717128,57.1,11101.187
75,76,3.2902551797794315,1.5415301676985875,55.934,11082.699
76,77,3.290236783713982,1.5415219560289601,55.933,11152.973
77,78,3.28996389518725,1.5413998714501989,58.943,11121.679
78,79,3.2899556168473874,1.5413961763704014,58.065,11388.533
79,80,3.28995745648439,1.5413969974900437,56.391,11110.612
80,81,3.28995193756323,1.5413945341468909,56.035,11099.472
81,82,3.2899510177400755,1.5413941235942994,57.976,11123.094
82,83,3.2896743754237887,1.5412705124910258,58.092,11214.317
83,84,3.2896743754237887,1.5412705124910258,55.968,11147.621
84,85,3.2891420151558064,1.5410327870998792,66.654,11337.786
85,86,3.2891401754934213,1.5410319660196723,59.56,11176.341
86,87,3.2891383358276505,1.5410311449447232,56.82,11221.337
87,88,3.2891374159934967,1.541030734409221,56.494,11122.89
88,89,3.289135576322651,1.5410299133421597,57.3,11427.954
89,90,3.289133736648421,1.5410290922803571,62.283,11336.688
90,91,3.289132816810036,1.5410286817514272,57.823,11124.023
91,92,3.2891318969708054,1.5410282712238121,56.841,11254.16
92,93,3.2891309771307293,1.5410278606975119,58.014,11120.987
93,94,3.289130057289806,1.5410274501725258,60.724,11187.508
94,95,3.2888551800610637,1.540904775997006,60.959,11159.233
95,96,3.2888551800610637,1.540904775997006,55.878,11108.465
96,97,3.2888551800610637,1.540904775997006,58.848,11359.266
97,98,3.2888542602176036,1.5409043654759644,56.032,11110.454
98,99,3.2888542602176036,1.5409043654759644,60.156,11075.664
99,100,3.2888533403732962,1.540903954956237,59.192,11114.387
100,101,3.2888533403732962,1.540903954956237,56.159,11107.062
